Entrez	Symbol	AMO_D_discoideum	AMO_E_histolytica	AMO_P_pallidum	EXC_G_intestinalis	EXC_L_major	EXC_N_gruberi	EXC_T_brucei	EXC_T_vaginalis	OPI_B_dendrobatidis	OPI_B_floridae	OPI_C_albicans	OPI_C_elegans	OPI_C_neoformans	OPI_C_owczarzaki	OPI_D_melanogaster	OPI_D_rerio	OPI_E_cuniculi	OPI_G_gallus	OPI_H_sapiens	OPI_M_brevicollis	OPI_M_domestica	OPI_M_musculus	OPI_N_ceranae	OPI_N_crassa	OPI_N_vectensis	OPI_O_anatinus	OPI_R_norvegicus	OPI_S_cerevisiae	OPI_S_pombe	OPI_S_rosetta	OPI_T_adhaerens	OPI_T_hominis	OPI_U_maydis	OPI_X_tropicalis	PLA_A_thaliana	PLA_C_reinhardtii	PLA_M_pusilla	PLA_O_sativa	PLA_O_tauri	PLA_P_patens	PLA_V_carteri	SAR_B_bovis	SAR_B_hominis	SAR_C_parvum	SAR_E_siliculosus	SAR_P_falciparum	SAR_P_infestans	SAR_P_sojae	SAR_P_tetraurelia	SAR_P_tricornutum	SAR_T_gondii	SAR_T_parva	SAR_T_pseudonana	SAR_T_thermophila
90	Matryoshka_1051	1	1	2	1	1	1	1	2	1	2	0	1	0	2	1	1	0	2	2	2	2	2	0	2	2	2	2	0	0	2	1	0	1	1	2	1	1	2	1	1	1	0	1	0	1	0	1	1	2	2	0	0	3	2
240	Matryoshka_1137	2	1	1	1	2	1	2	1	2	1	1	2	1	1	2	2	1	2	2	2	2	2	1	0	1	1	2	1	1	2	2	1	0	1	1	2	1	1	2	1	1	2	2	1	2	2	2	2	1	1	1	1	1	1
273	Matryoshka_1156	2	1	1	1	2	1	2	0	1	1	2	0	2	2	0	0	1	3	0	1	0	0	1	2	3	0	0	2	2	2	0	1	1	0	2	2	2	2	2	1	2	1	2	1	1	1	1	1	0	1	2	1	1	0
426	Matryoshka_1245	2	0	2	0	2	1	1	1	1	1	2	2	2	2	2	2	0	2	2	1	2	2	0	2	1	1	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	1	2	0	1	2
457	Matryoshka_1272	2	0	2	0	1	2	0	1	2	2	2	2	2	2	2	2	1	3	2	1	1	2	0	2	2	1	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1
466	Matryoshka_1279	2	0	1	1	1	2	1	1	2	1	2	2	2	2	2	2	0	2	2	1	2	2	0	2	1	1	2	1	2	1	1	0	2	2	2	2	1	2	2	2	2	1	2	0	1	1	2	2	2	2	1	1	1	2
470	Matryoshka_1281	2	1	1	0	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	1	1	1	1	2	2
487	Matryoshka_1296	2	0	2	0	2	2	2	0	2	2	2	2	1	2	2	2	0	2	2	1	2	2	0	1	1	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	1	0	0	1	2	2	2	2	2	2	1	1	2
692	Matryoshka_1430	2	1	1	1	1	2	1	2	1	1	2	2	2	1	2	2	0	1	2	2	2	2	0	2	1	3	2	2	1	2	1	0	0	1	1	2	1	1	1	1	2	0	2	0	2	0	2	2	1	1	1	0	1	2
731	Matryoshka_1464	2	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	0	2	2	1	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	3	1	1	1	1	2	1	1	2	1	1
732	Matryoshka_1466	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2
752	Matryoshka_1472	2	0	1	0	2	2	2	0	3	2	2	2	2	2	2	2	0	1	2	2	2	2	0	2	2	1	2	2	2	2	1	0	1	1	2	3	1	1	2	1	2	0	1	0	1	0	1	1	2	1	2	0	3	1
848	Matryoshka_1515	2	0	2	1	2	2	1	1	2	1	2	2	2	2	1	2	0	1	2	1	1	2	0	2	2	1	2	2	2	2	1	0	1	1	2	2	1	1	1	1	2	0	1	0	2	0	2	2	2	1	2	0	1	2
853	Matryoshka_1518	1	0	2	2	1	1	2	1	3	2	1	2	2	2	2	2	1	2	2	3	2	2	0	2	3	1	2	2	0	2	2	1	2	2	2	2	1	2	1	1	1	1	1	2	2	1	2	2	2	1	2	1	3	2
875	Matryoshka_1535	2	0	1	0	2	1	2	0	2	2	2	2	2	1	2	2	0	2	2	0	2	2	0	2	1	1	2	2	2	0	1	0	1	2	2	1	1	2	2	1	1	2	0	0	2	2	2	2	1	1	1	1	2	1
885	Matryoshka_1542	1	2	1	1	1	1	1	2	2	0	0	2	2	1	2	2	2	2	2	1	3	2	1	1	2	2	2	2	2	2	2	3	1	3	1	1	1	1	1	2	1	2	2	2	2	2	1	1	1	1	2	2	3	2
918	Matryoshka_1573	2	2	1	1	2	1	2	1	1	2	0	1	1	2	2	2	1	2	2	1	0	2	1	1	2	2	2	1	2	1	2	1	2	2	2	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	2	2	2	1
919	Matryoshka_1574	2	2	1	2	1	2	2	2	1	2	0	2	2	2	2	2	1	3	2	2	2	2	2	1	2	3	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2	2	2	3	1	1	2	2	1	1	2	2	1	1
943	Matryoshka_1590	2	0	2	0	2	2	2	1	2	2	1	2	2	2	2	2	0	2	2	2	2	2	0	2	2	1	2	2	2	2	2	0	1	3	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	1	2
1003	Matryoshka_1626	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2
1009	Matryoshka_1639	2	2	2	1	2	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1	1	3	2	2	2	3	2	2	2	2	2	2
1058	Matryoshka_1668	2	0	2	0	2	2	1	0	1	0	2	0	2	2	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	1	3	0	2	0	2	2	2	2	2	2	1	2	0	1	1	2	2	2	0	1	2	2	1	0
1170	Matryoshka_1758	1	2	1	1	1	1	1	2	2	0	0	2	1	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	3	2	1	2	1	2	2	1	1	1	1	1	3	2	1	1	2	1	2	1	1	1	1
1184	Matryoshka_1772	2	0	1	0	2	2	2	0	2	2	1	2	2	2	2	2	0	2	2	2	3	2	0	2	1	3	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	2
1230	Matryoshka_1802	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1
1232	Matryoshka_1809	2	0	2	0	2	2	1	0	1	1	0	0	2	0	2	2	0	3	1	2	1	1	0	2	2	2	1	0	0	1	2	0	1	2	1	3	3	1	1	2	1	0	1	0	2	0	2	2	0	1	0	1	1	1
1243	Matryoshka_1829	2	1	2	0	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2
1250	Matryoshka_1834	2	0	2	0	2	2	2	0	2	2	1	2	2	2	1	2	0	1	2	0	0	2	0	2	3	1	2	2	2	2	1	0	2	2	2	2	1	2	3	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2
1261	Matryoshka_1839	2	0	2	0	0	2	0	1	2	1	2	0	2	2	0	2	0	0	1	2	1	1	0	1	1	1	1	0	0	1	1	0	2	2	2	1	2	2	1	1	1	0	0	0	1	0	2	2	1	1	0	0	1	2
1272	Matryoshka_1844	2	0	2	0	0	2	0	0	1	2	0	2	2	2	2	2	0	2	2	2	2	2	0	0	3	3	2	0	0	2	1	1	1	2	1	2	2	1	2	2	1	0	0	0	2	0	0	0	2	2	0	0	1	2
1287	Matryoshka_1855	1	0	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	0	1	3	1	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	1	2	2	2	1	2	2	2	3	2	1	3	2
1321	Matryoshka_1880	2	0	1	0	2	2	2	0	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	3	2	2	2	2	1	3	2	2	2	1	1	2	1	2	2	0	2	0	1	1	2	2	1	2	1	0	1	1
1374	Matryoshka_1922	2	0	1	0	2	2	2	0	1	1	2	2	2	2	2	1	0	3	2	1	3	2	0	2	1	3	2	2	2	2	2	0	2	3	2	1	2	2	2	1	1	1	2	0	2	1	1	2	2	2	1	2	2	2
1397	Matryoshka_1939	2	0	1	0	2	2	2	0	2	2	2	2	2	2	2	1	0	2	2	2	3	2	0	2	3	1	2	2	2	2	1	0	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	1
1414	Matryoshka_1958	1	0	2	0	2	2	1	0	1	1	0	0	0	2	2	2	1	2	2	2	2	2	0	0	2	2	2	0	1	2	3	1	1	2	1	1	1	1	1	1	2	1	1	3	1	1	2	2	1	1	1	1	1	1
1526	Matryoshka_2038	2	0	1	2	2	1	2	0	3	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	3	0	2	2	2	2	3	0	2	2	2	2	1	2	2	1	1	0	2	0	2	2	2	2	2	1	1	2	2	2
1529	Matryoshka_2046	2	0	2	0	1	1	2	0	1	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	3	2	2	2	1	1	0	2	2	2	1	2	2	2	2	2	1	1	0	2	2	2	2	2	1	1	2	1	1
1533	Matryoshka_2051	2	0	2	0	2	2	2	0	1	2	1	2	2	2	2	2	1	3	2	1	2	2	1	2	2	0	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	0	2	0	2	1	2	2	2	2	1	0	1	2
1536	Matryoshka_2062	2	0	2	0	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	3	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	1	3	2	2	2	2	2	0	2	1	2	2	2	1	2	2	1	1
1537	Matryoshka_2063	1	0	2	0	0	2	0	0	1	3	2	2	1	1	2	1	0	2	2	1	2	2	0	1	0	2	0	2	1	2	2	0	2	1	2	1	2	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1
1608	Matryoshka_2091	1	0	2	0	0	2	0	0	0	1	1	0	0	2	0	2	0	2	1	2	1	2	0	2	1	3	2	1	0	1	1	0	0	3	1	1	2	2	1	1	1	1	0	0	2	2	1	3	1	2	2	2	1	1
1609	Matryoshka_2090	1	0	2	0	1	2	1	0	1	3	2	1	2	2	2	1	0	0	1	2	0	2	0	2	1	0	2	2	2	2	1	0	2	3	1	2	1	1	2	1	2	0	0	0	1	1	1	1	1	1	1	0	1	2
1668	Matryoshka_2150	1	0	2	1	1	2	1	1	1	1	1	2	2	1	2	1	0	2	2	1	3	2	0	2	1	3	2	2	2	1	0	0	2	2	1	3	2	2	2	1	2	1	2	3	2	1	2	2	1	1	1	1	2	1
1681	Matryoshka_2160	2	1	2	1	1	2	1	1	2	2	2	1	2	0	2	2	1	3	2	2	3	2	0	2	2	3	2	2	2	2	1	1	2	1	2	1	2	2	2	2	0	1	2	2	1	2	2	2	1	2	2	1	3	2
1743	Matryoshka_2202	2	0	1	0	1	2	1	0	1	0	2	1	2	1	1	2	0	1	1	1	1	1	0	1	1	2	1	1	2	1	2	0	2	1	1	2	1	2	2	3	2	2	1	0	2	2	2	2	1	2	1	2	2	1
1840	Matryoshka_2284	2	0	1	0	2	2	2	0	3	2	2	2	2	2	2	2	0	2	2	1	2	2	0	2	3	3	2	2	1	2	2	0	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1	2	0	3	2	2	2	2
1844	Matryoshka_2289	2	1	2	1	2	2	2	1	1	0	2	0	0	1	2	2	0	2	2	1	2	2	0	1	3	3	2	2	0	1	3	0	0	2	2	0	1	1	2	2	1	2	0	0	1	1	1	1	2	3	1	2	2	2
