Entrez	Symbol	AMO_D_discoideum	AMO_E_histolytica	AMO_P_pallidum	EXC_G_intestinalis	EXC_L_major	EXC_N_gruberi	EXC_T_brucei	EXC_T_vaginalis	OPI_B_dendrobatidis	OPI_B_floridae	OPI_C_albicans	OPI_C_elegans	OPI_C_neoformans	OPI_C_owczarzaki	OPI_D_melanogaster	OPI_D_rerio	OPI_E_cuniculi	OPI_G_gallus	OPI_H_sapiens	OPI_M_brevicollis	OPI_M_domestica	OPI_M_musculus	OPI_N_ceranae	OPI_N_crassa	OPI_N_vectensis	OPI_O_anatinus	OPI_R_norvegicus	OPI_S_cerevisiae	OPI_S_pombe	OPI_S_rosetta	OPI_T_adhaerens	OPI_T_hominis	OPI_U_maydis	OPI_X_tropicalis	PLA_A_thaliana	PLA_C_reinhardtii	PLA_M_pusilla	PLA_O_sativa	PLA_O_tauri	PLA_P_patens	PLA_V_carteri	SAR_B_bovis	SAR_B_hominis	SAR_C_parvum	SAR_E_siliculosus	SAR_P_falciparum	SAR_P_infestans	SAR_P_sojae	SAR_P_tetraurelia	SAR_P_tricornutum	SAR_T_gondii	SAR_T_parva	SAR_T_pseudonana	SAR_T_thermophila
1	Matryoshka_10002	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Matryoshka_10009	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	2	0	2	2	0	0	1	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Matryoshka_10011	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Matryoshka_10016	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Matryoshka_10017	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	2	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Matryoshka_10022	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	2	2	0	2	2	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Matryoshka_10026	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	3	0
8	Matryoshka_10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	2	1
9	Matryoshka_10036	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0
10	Matryoshka_10041	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0
11	Matryoshka_10044	2	0	1	0	0	0	0	0	2	0	2	0	2	1	0	0	0	0	0	2	0	0	0	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Matryoshka_10060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	3	1	0	0	0	1	0	0	0	0	1	0	0	1	0
13	Matryoshka_10068	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	2	0	2	2	0	0	2	3	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Matryoshka_10079	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Matryoshka_10086	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
16	Matryoshka_10091	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
17	Matryoshka_10092	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Matryoshka_10096	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	0	1	1	0	1	1	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Matryoshka_10109	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	1	1	0	0	1	3	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Matryoshka_1011	0	1	1	0	1	1	1	3	3	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	2	0	1	1	0	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	Matryoshka_10149	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Matryoshka_10153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	2	1	0	0	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
23	Matryoshka_10157	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Matryoshka_10170	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	2	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Matryoshka_10161	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	1	0	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Matryoshka_10173	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Matryoshka_10174	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	1	1	0	1	1	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	Matryoshka_10179	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	1	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Matryoshka_10193	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Matryoshka_10199	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	3	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Matryoshka_10213	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	2	0	1	1	0	0	2	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Matryoshka_10226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
33	Matryoshka_10237	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0
34	Matryoshka_10238	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0
35	Matryoshka_10241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
36	Matryoshka_10243	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0
37	Matryoshka_10244	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
38	Matryoshka_10254	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	2	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
39	Matryoshka_1027	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	0	2	2	1	1	1	0	1	1	2	1	1	1	1	1	0	1	1	0	1	1	1	1	2	1	0	1	1	1	1	1	2	3	1	2	0	1	1
40	Matryoshka_10276	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	3	0
41	Matryoshka_10278	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Matryoshka_10279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0
