Entrez	Symbol	L_waltii	L_thermotolerans	L_kluyveri	E_cymbalariae	E_gossypii	K_lactis	T_delbrueckii	Z_rouxii	S_cerevisiae	S_mikatae	S_kudriavzevii	S_bayanus	C_glabrata	K_africana	K_naganishii	N_castellii	N_dairenensis	T_blattae	T_phaffii	V_polyspora
1	YLR308W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
2	YNL306W	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2
3	YKR016W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
4	YPL099C	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	1	1	2
5	YNL213C	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	1	2	1	2	1
6	YCR092C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
7	YKR067W	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
8	YMR188C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9	YBL045C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1
10	YML115C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
11	YBR044C	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2
12	YGR084C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
13	YGL191W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
14	YBL022C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
15	YJR105W	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1
16	YIL159W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17	YHR021C	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18	YLR099W-A	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	YOL008W	2	2	2	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	2	2
20	YER017C	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2
21	YPL107W	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2
22	YIL010W	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
23	YGR203W	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
24	YML009C	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2
25	YOR220W	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
26	YNL271C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
27	YLR059C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2
28	YMR066W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
29	YDR307W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
30	YER037W	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31	YBR221C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
32	YDR057W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33	YPL118W	2	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1
34	YMR293C	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	YPR137W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36	YGR123C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	YJL194W	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38	YCR011C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
39	YLR017W	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
40	YJL117W	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
41	YPL104W	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2
42	YKL188C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
43	YLR034C	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44	YDR379C-A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2
45	YPR029C	1	2	1	2	1	2	2	1	1	1	1	1	2	1	2	2	1	2	1	1
46	YNR015W	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1
47	YHR194W	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
48	YLR281C	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	1	1	2	2
49	YIL031W	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
50	YMR313C	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
51	YDR322W	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
52	YOR305W	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1
53	YDR376W	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2
54	YER141W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
55	YER058W	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	YGR193C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
57	YJL200C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
58	YOR274W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
59	YNL107W	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	2
60	YGR225W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61	YJL104W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
62	YBR119W	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
63	YOR252W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
64	YNL073W	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2
65	YGR169C	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
66	YDR473C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
67	YMR267W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
68	YCL017C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
69	YDR305C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
70	YOL096C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
71	YBR176W	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1
72	YOR289W	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
73	YKL209C	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
74	YPR026W	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
75	YOL087C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
76	YPL173W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
77	YBR205W	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1
78	YJL180C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
79	YLR305C	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	2	1	1	1
80	YPL005W	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1
81	YDR337W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
82	YDL107W	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	2
83	YLR170C	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
84	YOL031C	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
85	YJR101W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
86	YPL029W	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
87	YBL015W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
88	YOR255W	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1
89	YPL271W	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1
90	YOR095C	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
91	YMR140W	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
92	YJL149W	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
93	YJL102W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1
94	YNL104C	2	2	2	1	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	2
95	YIL090W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
96	YJR016C	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
97	YIL083C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
98	YJL192C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
99	YDR286C	2	2	2	1	1	2	1	2	2	2	2	1	2	2	1	2	2	2	2	2
100	YEL050C	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2
101	YIL026C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
102	YNL177C	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2
103	YDR232W	1	1	1	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	1	2
